datetime,updatedAt,estimationMethod,mix
2026-02-23T00:00:00.000Z,2026-05-05T02:15:30.990Z,MEASURED,"{'nuclear': 46445.75, 'geothermal': None, 'biomass': 1140, 'coal': 0, 'wind': 10754.25, 'solar': 0, 'hydro': 7888.75, 'gas': 1415.75, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': 352.25, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 11}, 'flows': {'exports': 17543, 'imports': 0}}"
2026-02-23T01:00:00.000Z,2026-03-24T03:37:36.696Z,MEASURED,"{'nuclear': 46045.5, 'geothermal': None, 'biomass': 1140, 'coal': 0, 'wind': 10618, 'solar': 0, 'hydro': 7849.5, 'gas': 1412.5, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': 1303.5, 'discharge': None}, 'battery storage': {'charge': 7.5, 'discharge': None}, 'flows': {'exports': 17687, 'imports': 0}}"
2026-02-23T02:00:00.000Z,2026-03-27T03:42:12.836Z,MEASURED,"{'nuclear': 46352.5, 'geothermal': None, 'biomass': 1138, 'coal': 0, 'wind': 10585, 'solar': 0, 'hydro': 7417, 'gas': 1444, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': 2920, 'discharge': None}, 'battery storage': {'charge': 45.5, 'discharge': None}, 'flows': {'exports': 17452, 'imports': 0}}"
2026-02-23T03:00:00.000Z,2026-05-23T04:33:58.850Z,MEASURED,"{'nuclear': 46036, 'geothermal': None, 'biomass': 1138, 'coal': 0, 'wind': 10261, 'solar': 0, 'hydro': 7314, 'gas': 1423, 'oil': 36, 'unknown': None, 'hydro storage': {'charge': 2991, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 1.5}, 'flows': {'exports': 16845, 'imports': 0}}"
2026-02-23T04:00:00.000Z,2026-05-05T02:15:44.715Z,MEASURED,"{'nuclear': 47017.5, 'geothermal': None, 'biomass': 1129.5, 'coal': 0, 'wind': 9875, 'solar': 0, 'hydro': 7880, 'gas': 1433.5, 'oil': 36, 'unknown': None, 'hydro storage': {'charge': 2191, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 4.5}, 'flows': {'exports': 16458, 'imports': 31}}"
2026-02-23T05:00:00.000Z,2026-05-05T02:15:44.715Z,MEASURED,"{'nuclear': 48251.5, 'geothermal': None, 'biomass': 1104, 'coal': 0, 'wind': 9626.5, 'solar': 0, 'hydro': 8411, 'gas': 1411, 'oil': 36, 'unknown': None, 'hydro storage': {'charge': None, 'discharge': 690}, 'battery storage': {'charge': None, 'discharge': 15.5}, 'flows': {'exports': 16499, 'imports': 0}}"
2026-02-23T06:00:00.000Z,2026-05-05T02:15:44.715Z,MEASURED,"{'nuclear': 48497, 'geothermal': None, 'biomass': 1103, 'coal': 0, 'wind': 9818, 'solar': 183, 'hydro': 8610, 'gas': 1425, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': None, 'discharge': 3796.5}, 'battery storage': {'charge': None, 'discharge': 43}, 'flows': {'exports': 16694, 'imports': 0}}"
2026-02-23T07:00:00.000Z,2026-05-05T02:15:30.990Z,MEASURED,"{'nuclear': 48692, 'geothermal': None, 'biomass': 1105, 'coal': 0, 'wind': 9963.5, 'solar': 1179.5, 'hydro': 8883, 'gas': 1440.5, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': None, 'discharge': 3779.5}, 'battery storage': {'charge': None, 'discharge': 23.5}, 'flows': {'exports': 15804, 'imports': 0}}"
2026-02-23T08:00:00.000Z,2026-05-05T02:15:30.990Z,MEASURED,"{'nuclear': 47921.5, 'geothermal': None, 'biomass': 1104, 'coal': 0, 'wind': 9663, 'solar': 3534, 'hydro': 8084, 'gas': 1450, 'oil': 35, 'unknown': None, 'hydro storage': {'charge': None, 'discharge': 1353.5}, 'battery storage': {'charge': 22.5, 'discharge': None}, 'flows': {'exports': 13619, 'imports': 728}}"
2026-02-23T09:00:00.000Z,2026-03-27T03:42:05.022Z,MEASURED,"{'nuclear': 47425, 'geothermal': None, 'biomass': 1106.5, 'coal': 0, 'wind': 9541.5, 'solar': 6145, 'hydro': 7009, 'gas': 1464.5, 'oil': 35.5, 'unknown': None, 'hydro storage': {'charge': 1178.5, 'discharge': None}, 'battery storage': {'charge': 29, 'discharge': None}, 'flows': {'exports': 13291, 'imports': 1541}}"
