datetime,updatedAt,estimationMethod,mix,isEstimated
2026-02-23T00:00:00.000Z,2026-05-23T04:34:05.075Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4750, 'coal': 3631.83, 'wind': 38849.86, 'solar': 0, 'hydro': 1469.42, 'gas': 5140.15, 'oil': 111.93, 'unknown': 302.56, 'hydro storage': {'charge': 4080.64, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10639, 'imports': 3130}}",
2026-02-23T01:00:00.000Z,2026-05-23T04:33:49.841Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4742.8, 'coal': 3945.44, 'wind': 38498.3, 'solar': 0, 'hydro': 1475.55, 'gas': 5102.17, 'oil': 111.93, 'unknown': 306.52, 'hydro storage': {'charge': 4761.71, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10066, 'imports': 3272}}",
2026-02-23T02:00:00.000Z,2026-05-23T04:34:05.075Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4737.83, 'coal': 4179.46, 'wind': 38158.47, 'solar': 0, 'hydro': 1471.6, 'gas': 5144.17, 'oil': 111.96, 'unknown': 307.69, 'hydro storage': {'charge': 4726.7, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9763, 'imports': 3593}}",
2026-02-23T03:00:00.000Z,2026-05-23T04:33:46.384Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4770.58, 'coal': 4314.92, 'wind': 38977.26, 'solar': 0, 'hydro': 1474.48, 'gas': 5258.58, 'oil': 111.83, 'unknown': 307.63, 'hydro storage': {'charge': 4128.05, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9934, 'imports': 3916}}",
2026-02-23T04:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4802.61, 'coal': 4677.62, 'wind': 40215.4, 'solar': 0, 'hydro': 1480.16, 'gas': 5667.43, 'oil': 111.9, 'unknown': 309.19, 'hydro storage': {'charge': 2338.33, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10168, 'imports': 4255}}",
2026-02-23T05:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4923.33, 'coal': 5498.63, 'wind': 42424.98, 'solar': 0.17, 'hydro': 1467.86, 'gas': 6857.08, 'oil': 112.17, 'unknown': 343.98, 'hydro storage': {'charge': None, 'discharge': 366.16}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9257, 'imports': 3782}}",
2026-02-23T06:00:00.000Z,2026-05-23T02:12:50.122Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5127.24, 'coal': 6735.95, 'wind': 42386.95, 'solar': 454.22, 'hydro': 1483.71, 'gas': 7460.86, 'oil': 111.93, 'unknown': 399.19, 'hydro storage': {'charge': None, 'discharge': 2518.92}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 8394, 'imports': 3390}}",
2026-02-23T07:00:00.000Z,2026-05-23T02:11:22.406Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5190.96, 'coal': 7077.1, 'wind': 41985.93, 'solar': 3342.94, 'hydro': 1527.35, 'gas': 7605.55, 'oil': 111.87, 'unknown': 403.84, 'hydro storage': {'charge': None, 'discharge': 3699.04}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9982, 'imports': 3015}}",
2026-02-23T08:00:00.000Z,2026-05-23T02:11:22.706Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5128.97, 'coal': 6771.79, 'wind': 42684.55, 'solar': 8130.28, 'hydro': 1503.98, 'gas': 7355.85, 'oil': 112, 'unknown': 403.85, 'hydro storage': {'charge': None, 'discharge': 2516.49}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 12595, 'imports': 2746}}",
2026-02-23T09:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4977.33, 'coal': 5343.89, 'wind': 44315.77, 'solar': 13055.76, 'hydro': 1524.72, 'gas': 6691.78, 'oil': 111.93, 'unknown': 399.6, 'hydro storage': {'charge': 288.96, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 12529, 'imports': 2591}}",
2026-02-23T10:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4854.31, 'coal': 5016.89, 'wind': 45491.98, 'solar': 15459.62, 'hydro': 1505.25, 'gas': 5849.43, 'oil': 111.9, 'unknown': 328.75, 'hydro storage': {'charge': 1899.4, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 13024, 'imports': 2643}}",
2026-02-23T11:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4720.66, 'coal': 4939.03, 'wind': 46204.26, 'solar': 15943.88, 'hydro': 1504.89, 'gas': 5621.35, 'oil': 112.46, 'unknown': 307.93, 'hydro storage': {'charge': 2240.18, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 13427, 'imports': 2499}}",
2026-02-23T12:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4691.52, 'coal': 4981.9, 'wind': 47280.69, 'solar': 15689.89, 'hydro': 1477.2, 'gas': 5581.42, 'oil': 112.45, 'unknown': 306.69, 'hydro storage': {'charge': 3045.35, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 13225, 'imports': 2322}}",
2026-02-23T13:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4724.34, 'coal': 4881.53, 'wind': 46970.27, 'solar': 14026.35, 'hydro': 1492.12, 'gas': 5726.02, 'oil': 111.83, 'unknown': 308.84, 'hydro storage': {'charge': 2819.29, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 13873, 'imports': 2070}}",
2026-02-23T14:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4827.48, 'coal': 5686.36, 'wind': 46180.47, 'solar': 9479.47, 'hydro': 1493.52, 'gas': 6367.87, 'oil': 111.87, 'unknown': 330.52, 'hydro storage': {'charge': 1238.18, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 13102, 'imports': 1992}}",
2026-02-23T15:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5022.57, 'coal': 8460.07, 'wind': 44862.65, 'solar': 3984.75, 'hydro': 1498.79, 'gas': 7252.82, 'oil': 112, 'unknown': 363.37, 'hydro storage': {'charge': None, 'discharge': 39.38}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 12426, 'imports': 2147}}",
2026-02-23T16:00:00.000Z,2026-05-23T02:11:17.699Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5215.4, 'coal': 10172.94, 'wind': 43224.61, 'solar': 477.57, 'hydro': 1529.68, 'gas': 7642.49, 'oil': 112.07, 'unknown': 384.79, 'hydro storage': {'charge': None, 'discharge': 691.6}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9802, 'imports': 2702}}",
2026-02-23T17:00:00.000Z,2026-05-23T02:11:53.843Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5262.42, 'coal': 11261.85, 'wind': 42576.32, 'solar': 0.3, 'hydro': 1544.29, 'gas': 7982.32, 'oil': 111.86, 'unknown': 395.7, 'hydro storage': {'charge': None, 'discharge': 1457.53}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9867, 'imports': 2739}}",
2026-02-23T18:00:00.000Z,2026-05-23T02:12:10.397Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5236.11, 'coal': 11409.65, 'wind': 41952.76, 'solar': 0, 'hydro': 1551.18, 'gas': 8104.71, 'oil': 111.87, 'unknown': 396.08, 'hydro storage': {'charge': None, 'discharge': 1418.25}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10340, 'imports': 2031}}",
2026-02-23T19:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5137.58, 'coal': 11128.46, 'wind': 39746.91, 'solar': 0, 'hydro': 1513.02, 'gas': 7858.82, 'oil': 111.9, 'unknown': 396.14, 'hydro storage': {'charge': None, 'discharge': 178.65}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10176, 'imports': 2654}}",
2026-02-23T20:00:00.000Z,2026-05-23T02:12:52.538Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5011.85, 'coal': 11138.88, 'wind': 37256.98, 'solar': 0, 'hydro': 1498.56, 'gas': 7891.36, 'oil': 111.87, 'unknown': 396.22, 'hydro storage': {'charge': 101.6, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10508, 'imports': 2889}}",
2026-02-23T21:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4941.71, 'coal': 11337.22, 'wind': 33988.03, 'solar': 0, 'hydro': 1490.25, 'gas': 7783.87, 'oil': 111.93, 'unknown': 396.29, 'hydro storage': {'charge': None, 'discharge': 137.49}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10508, 'imports': 2464}}",
2026-02-23T22:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4853.19, 'coal': 11303.31, 'wind': 31909.92, 'solar': 0, 'hydro': 1497.61, 'gas': 7678.65, 'oil': 111.9, 'unknown': 394.73, 'hydro storage': {'charge': 519.24, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10918, 'imports': 2476}}",
2026-02-23T23:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4796.1, 'coal': 11645.15, 'wind': 28169.15, 'solar': 0, 'hydro': 1530.44, 'gas': 7957.16, 'oil': 110.46, 'unknown': 368.94, 'hydro storage': {'charge': 410.9, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 11427, 'imports': 2640}}",
2026-02-24T00:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4777.61, 'coal': 12171.79, 'wind': 23813.89, 'solar': 0, 'hydro': 1611.16, 'gas': 7975.06, 'oil': 110.36, 'unknown': 354.47, 'hydro storage': {'charge': None, 'discharge': 71.9}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 10640, 'imports': 3101}}",
2026-02-24T01:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4743.72, 'coal': 12965.84, 'wind': 20097.2, 'solar': 0, 'hydro': 1633.76, 'gas': 8724.8, 'oil': 110.39, 'unknown': 354.5, 'hydro storage': {'charge': 138.77, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 9759, 'imports': 4087}}",
2026-02-24T02:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4738.56, 'coal': 13891.47, 'wind': 16738.99, 'solar': 0, 'hydro': 1703.56, 'gas': 9666.78, 'oil': 110.33, 'unknown': 354.5, 'hydro storage': {'charge': None, 'discharge': 239.05}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 8723, 'imports': 4714}}",
2026-02-24T03:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4763.13, 'coal': 14679.75, 'wind': 13784.53, 'solar': 0, 'hydro': 1744.76, 'gas': 11239.78, 'oil': 110.32, 'unknown': 354.58, 'hydro storage': {'charge': None, 'discharge': 358.9}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 6633, 'imports': 4834}}",
2026-02-24T04:00:00.000Z,2026-05-23T02:12:28.311Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4798.63, 'coal': 16173.08, 'wind': 11709.28, 'solar': 0, 'hydro': 1825.57, 'gas': 12675.48, 'oil': 110.36, 'unknown': 368.91, 'hydro storage': {'charge': None, 'discharge': 591.11}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 4627, 'imports': 5213}}",
2026-02-24T05:00:00.000Z,2026-05-23T02:12:46.648Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4914.84, 'coal': 18318.11, 'wind': 9616.71, 'solar': 0.16, 'hydro': 1972.35, 'gas': 14934.47, 'oil': 110.36, 'unknown': 387.2, 'hydro storage': {'charge': None, 'discharge': 2008.04}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2489, 'imports': 6515}}",
2026-02-24T06:00:00.000Z,2026-05-23T02:12:46.648Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5075.39, 'coal': 19545.09, 'wind': 7259.5, 'solar': 306.47, 'hydro': 2174.82, 'gas': 15816.53, 'oil': 110.36, 'unknown': 398.66, 'hydro storage': {'charge': None, 'discharge': 4615.46}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3875, 'imports': 9494}}",
2026-02-24T07:00:00.000Z,2026-05-23T02:11:25.711Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5122.1, 'coal': 20020.61, 'wind': 5137.74, 'solar': 2754.74, 'hydro': 2217.41, 'gas': 15892.7, 'oil': 185.55, 'unknown': 398.59, 'hydro storage': {'charge': None, 'discharge': 5098.17}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3989, 'imports': 10218}}",
2026-02-24T08:00:00.000Z,2026-05-23T02:12:57.939Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5070.2, 'coal': 20070.19, 'wind': 3627.23, 'solar': 6750.18, 'hydro': 2180.16, 'gas': 16062.12, 'oil': 132.02, 'unknown': 398.54, 'hydro storage': {'charge': None, 'discharge': 3549.43}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 4257, 'imports': 9649}}",
2026-02-24T09:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4980.55, 'coal': 20197.18, 'wind': 2782.59, 'solar': 10459.33, 'hydro': 2160.39, 'gas': 15966.19, 'oil': 110.49, 'unknown': 392.59, 'hydro storage': {'charge': None, 'discharge': 538.75}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3534, 'imports': 10257}}",
2026-02-24T10:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4894.35, 'coal': 19825.84, 'wind': 2496.54, 'solar': 13438.16, 'hydro': 2100.43, 'gas': 15539.6, 'oil': 110.36, 'unknown': 390.87, 'hydro storage': {'charge': None, 'discharge': 279.44}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2876, 'imports': 8167}}",
2026-02-24T11:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4815.28, 'coal': 19015.06, 'wind': 2521.99, 'solar': 14555.69, 'hydro': 1983.32, 'gas': 15173.54, 'oil': 110.36, 'unknown': 390.94, 'hydro storage': {'charge': 626.03, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2131, 'imports': 8324}}",
2026-02-24T12:00:00.000Z,2026-05-05T02:16:32.985Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4772.25, 'coal': 18865.37, 'wind': 2558.52, 'solar': 14413.98, 'hydro': 2021.96, 'gas': 15235.76, 'oil': 110.32, 'unknown': 391.11, 'hydro storage': {'charge': 239.73, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2636, 'imports': 7572}}",
2026-02-24T13:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 4809.26, 'coal': 19497.59, 'wind': 2305.94, 'solar': 12505.73, 'hydro': 1945.76, 'gas': 15380.52, 'oil': 120.65, 'unknown': 391.09, 'hydro storage': {'charge': 324.51, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3352, 'imports': 7762}}",
2026-02-24T14:00:00.000Z,2026-05-05T02:16:43.181Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5129.92, 'coal': 19992.87, 'wind': 2087, 'solar': 9173.54, 'hydro': 2033.56, 'gas': 15576.11, 'oil': 122.67, 'unknown': 391.13, 'hydro storage': {'charge': None, 'discharge': 631.38}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2669, 'imports': 8020}}",
2026-02-24T15:00:00.000Z,2026-05-23T02:11:46.654Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5213.72, 'coal': 20497.42, 'wind': 2235.33, 'solar': 4581.69, 'hydro': 2128.33, 'gas': 15983.48, 'oil': 127.41, 'unknown': 391.13, 'hydro storage': {'charge': None, 'discharge': 2651.3}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3297, 'imports': 9833}}",
2026-02-24T16:00:00.000Z,2026-05-23T02:11:49.911Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5371.3, 'coal': 20489.26, 'wind': 2626.47, 'solar': 700.07, 'hydro': 2433.1, 'gas': 16755.81, 'oil': 152.09, 'unknown': 392.17, 'hydro storage': {'charge': None, 'discharge': 4860.78}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3348, 'imports': 11825}}",
2026-02-24T17:00:00.000Z,2026-05-23T02:11:29.214Z,MEASURED,"{'nuclear': None, 'geothermal': 21.16, 'biomass': 5426.72, 'coal': 20504.42, 'wind': 3356.53, 'solar': 1.44, 'hydro': 2372.79, 'gas': 17225.74, 'oil': 227.43, 'unknown': 401.31, 'hydro storage': {'charge': None, 'discharge': 5184.39}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3302, 'imports': 12622}}",
