datetime,value,solar,wind,hydro,renewable_generation,renewable_share
2026-02-23 00:00:00+00:00,42686.78,0.0,38849.86,1469.42,40319.28,0.9445378639475734
2026-02-23 01:00:00+00:00,42647.86,0.0,38498.3,1475.55,39973.850000000006,0.9373002537524745
2026-02-23 02:00:00+00:00,43236.01,0.0,38158.47,1471.6,39630.07,0.9165986870666373
2026-02-23 03:00:00+00:00,45089.77,0.0,38977.26,1474.48,40451.740000000005,0.8971378651964738
2026-02-23 04:00:00+00:00,49033.76,0.0,40215.4,1480.16,41695.560000000005,0.8503439263070995
2026-02-23 05:00:00+00:00,56540.4,0.17,42424.98,1467.86,43893.01,0.7763123359580053
2026-02-23 06:00:00+00:00,61696.39,454.22,42386.95,1483.71,44324.88,0.7184355519018212
2026-02-23 07:00:00+00:00,63999.01,3342.94,41985.93,1527.35,46856.22,0.7321397627869556
2026-02-23 08:00:00+00:00,64779.91,8130.28,42684.55,1503.98,52318.810000000005,0.807639436362292
2026-02-23 09:00:00+00:00,66214.59,13055.76,44315.77,1524.72,58896.25,0.8894754162186914
2026-02-23 10:00:00+00:00,66359.02,15459.62,45491.98,1505.25,62456.850000000006,0.9411960875853803
2026-02-23 11:00:00+00:00,66206.87,15943.88,46204.26,1504.89,63653.03,0.961426359530363
2026-02-23 12:00:00+00:00,66194.66,15689.89,47280.69,1477.2,64447.78,0.9736099558484022
2026-02-23 13:00:00+00:00,63639.79,14026.35,46970.27,1492.12,62488.74,0.9819130452818904
2026-02-23 14:00:00+00:00,62150.93,9479.47,46180.47,1493.52,57153.46,0.9195913882543673
2026-02-23 15:00:00+00:00,61338.47,3984.75,44862.65,1498.79,50346.19,0.8207930520601509
2026-02-23 16:00:00+00:00,62372.43,477.57,43224.61,1529.68,45231.86,0.7251899597306053
2026-02-23 17:00:00+00:00,63486.05,0.3,42576.32,1544.29,44120.91,0.6949701548607923
2026-02-23 18:00:00+00:00,61892.73,0.0,41952.76,1551.18,43503.94,0.7028925691272626
2026-02-23 19:00:00+00:00,58571.02,0.0,39746.91,1513.02,41259.93,0.7044427431859647
2026-02-23 20:00:00+00:00,55607.01,0.0,37256.98,1498.56,38755.54,0.696954214945202
2026-02-23 21:00:00+00:00,52164.68,0.0,33988.03,1490.25,35478.28,0.6801207253643653
2026-02-23 22:00:00+00:00,48809.25,0.0,31909.92,1497.61,33407.53,0.6844507956995856
2026-02-23 23:00:00+00:00,45400.46,0.0,28169.15,1530.44,29699.59,0.654169363041696
