datetime,value,solar,wind,hydro,renewable_generation,residual_load
2026-02-23 00:00:00+00:00,42686.78,0.0,38849.86,1469.42,40319.28,2367.5
2026-02-23 01:00:00+00:00,42647.86,0.0,38498.3,1475.55,39973.850000000006,2674.0099999999948
2026-02-23 02:00:00+00:00,43236.01,0.0,38158.47,1471.6,39630.07,3605.9400000000023
2026-02-23 03:00:00+00:00,45089.77,0.0,38977.26,1474.48,40451.740000000005,4638.029999999992
2026-02-23 04:00:00+00:00,49033.76,0.0,40215.4,1480.16,41695.560000000005,7338.199999999997
2026-02-23 05:00:00+00:00,56540.4,0.17,42424.98,1467.86,43893.01,12647.39
2026-02-23 06:00:00+00:00,61696.39,454.22,42386.95,1483.71,44324.88,17371.510000000002
2026-02-23 07:00:00+00:00,63999.01,3342.94,41985.93,1527.35,46856.22,17142.79
2026-02-23 08:00:00+00:00,64779.91,8130.28,42684.55,1503.98,52318.810000000005,12461.099999999999
2026-02-23 09:00:00+00:00,66214.59,13055.76,44315.77,1524.72,58896.25,7318.3399999999965
2026-02-23 10:00:00+00:00,66359.02,15459.62,45491.98,1505.25,62456.850000000006,3902.1699999999983
2026-02-23 11:00:00+00:00,66206.87,15943.88,46204.26,1504.89,63653.03,2553.8399999999965
2026-02-23 12:00:00+00:00,66194.66,15689.89,47280.69,1477.2,64447.78,1746.8800000000047
2026-02-23 13:00:00+00:00,63639.79,14026.35,46970.27,1492.12,62488.74,1151.050000000003
2026-02-23 14:00:00+00:00,62150.93,9479.47,46180.47,1493.52,57153.46,4997.470000000001
2026-02-23 15:00:00+00:00,61338.47,3984.75,44862.65,1498.79,50346.19,10992.279999999999
2026-02-23 16:00:00+00:00,62372.43,477.57,43224.61,1529.68,45231.86,17140.57
2026-02-23 17:00:00+00:00,63486.05,0.3,42576.32,1544.29,44120.91,19365.14
2026-02-23 18:00:00+00:00,61892.73,0.0,41952.76,1551.18,43503.94,18388.79
2026-02-23 19:00:00+00:00,58571.02,0.0,39746.91,1513.02,41259.93,17311.089999999997
2026-02-23 20:00:00+00:00,55607.01,0.0,37256.98,1498.56,38755.54,16851.47
2026-02-23 21:00:00+00:00,52164.68,0.0,33988.03,1490.25,35478.28,16686.4
2026-02-23 22:00:00+00:00,48809.25,0.0,31909.92,1497.61,33407.53,15401.720000000001
2026-02-23 23:00:00+00:00,45400.46,0.0,28169.15,1530.44,29699.59,15700.869999999999
2026-02-24 00:00:00+00:00,43368.74,0.0,23813.89,1611.16,25425.05,17943.69
2026-02-24 01:00:00+00:00,42841.32,0.0,20097.2,1633.76,21730.96,21110.36
2026-02-24 02:00:00+00:00,43455.37,0.0,16738.99,1703.56,18442.550000000003,25012.82
