datetime,updatedAt,estimationMethod,mix,isEstimated
2026-02-23T00:00:00.000Z,2026-03-24T03:37:18.417Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 497, 'coal': 0, 'wind': 1971, 'solar': 148, 'hydro': 7171, 'gas': 4339, 'oil': 11, 'unknown': 61, 'hydro storage': {'charge': None, 'discharge': 151}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 858, 'imports': 3397}}",
2026-02-23T01:00:00.000Z,2026-03-24T03:37:18.417Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 500, 'coal': 0, 'wind': 1918, 'solar': 120, 'hydro': 6000, 'gas': 4379, 'oil': 12, 'unknown': 63, 'hydro storage': {'charge': 758, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 860, 'imports': 4146}}",
2026-02-23T02:00:00.000Z,2026-03-25T03:36:54.209Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 438, 'coal': 0, 'wind': 2002, 'solar': 95, 'hydro': 5900, 'gas': 4245, 'oil': 12, 'unknown': 64, 'hydro storage': {'charge': 1203, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 744, 'imports': 4555}}",
2026-02-23T03:00:00.000Z,2026-05-23T04:33:53.432Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 297, 'coal': 0, 'wind': 2209, 'solar': 61, 'hydro': 5807, 'gas': 4224, 'oil': 12, 'unknown': 64, 'hydro storage': {'charge': 1258, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 512, 'imports': 4410}}",
2026-02-23T04:00:00.000Z,2026-05-05T02:16:18.835Z,MEASURED,"{'nuclear': 5779, 'geothermal': 0, 'biomass': 296, 'coal': 0, 'wind': 2084, 'solar': 19, 'hydro': 6132, 'gas': 4627, 'oil': 11, 'unknown': 64, 'hydro storage': {'charge': 631, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 751, 'imports': 4640}}",
2026-02-23T05:00:00.000Z,2026-03-25T03:37:06.261Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 297, 'coal': 0, 'wind': 2103, 'solar': 12, 'hydro': 7986, 'gas': 5375, 'oil': 10, 'unknown': 64, 'hydro storage': {'charge': None, 'discharge': 678}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 864, 'imports': 4457}}",
2026-02-23T06:00:00.000Z,2026-05-12T02:13:42.355Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 299, 'coal': 0, 'wind': 2075, 'solar': 23, 'hydro': 8410, 'gas': 7389, 'oil': 12, 'unknown': 64, 'hydro storage': {'charge': None, 'discharge': 2414}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 499, 'imports': 4251}}",
2026-02-23T07:00:00.000Z,2026-05-12T02:14:08.126Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 473, 'coal': 0, 'wind': 1882, 'solar': 3290, 'hydro': 8264, 'gas': 8111, 'oil': 12, 'unknown': 66, 'hydro storage': {'charge': None, 'discharge': 2308}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 329, 'imports': 3066}}",
2026-02-23T08:00:00.000Z,2026-05-23T02:11:04.972Z,MEASURED,"{'nuclear': 5774, 'geothermal': 0, 'biomass': 488, 'coal': 0, 'wind': 1226, 'solar': 12781, 'hydro': 7048, 'gas': 5455, 'oil': 19, 'unknown': 65, 'hydro storage': {'charge': 590, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 4}, 'flows': {'exports': 1277, 'imports': 963}}",
2026-02-23T09:00:00.000Z,2026-05-23T02:12:35.573Z,MEASURED,"{'nuclear': 5768, 'geothermal': 0, 'biomass': 512, 'coal': 0, 'wind': 750, 'solar': 18353, 'hydro': 4862, 'gas': 4588, 'oil': 21, 'unknown': 73, 'hydro storage': {'charge': 2131, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 4}, 'flows': {'exports': 2811, 'imports': 0}}",
2026-02-23T10:00:00.000Z,2026-05-23T02:12:52.325Z,MEASURED,"{'nuclear': 5775, 'geothermal': 0, 'biomass': 526, 'coal': 0, 'wind': 582, 'solar': 19063, 'hydro': 4083, 'gas': 4527, 'oil': 23, 'unknown': 76, 'hydro storage': {'charge': 2490, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 4}, 'flows': {'exports': 3393, 'imports': 0}}",
2026-02-23T11:00:00.000Z,2026-03-25T03:37:06.261Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 523, 'coal': 0, 'wind': 503, 'solar': 18351, 'hydro': 4009, 'gas': 4562, 'oil': 24, 'unknown': 73, 'hydro storage': {'charge': 2388, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3858, 'imports': 0}}",
2026-02-23T12:00:00.000Z,2026-03-25T03:36:54.209Z,MEASURED,"{'nuclear': 5777, 'geothermal': 0, 'biomass': 521, 'coal': 0, 'wind': 499, 'solar': 17806, 'hydro': 4007, 'gas': 4575, 'oil': 24, 'unknown': 83, 'hydro storage': {'charge': 2398, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3308, 'imports': 0}}",
2026-02-23T13:00:00.000Z,2026-03-25T03:37:09.371Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 510, 'coal': 0, 'wind': 494, 'solar': 16666, 'hydro': 3991, 'gas': 4526, 'oil': 24, 'unknown': 83, 'hydro storage': {'charge': 2460, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2661, 'imports': 13}}",
2026-02-23T14:00:00.000Z,2026-03-25T03:36:54.209Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 499, 'coal': 0, 'wind': 504, 'solar': 16786, 'hydro': 3919, 'gas': 4571, 'oil': 24, 'unknown': 74, 'hydro storage': {'charge': 2537, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2492, 'imports': 0}}",
2026-02-23T15:00:00.000Z,2026-03-25T03:36:58.634Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 534, 'coal': 0, 'wind': 580, 'solar': 17269, 'hydro': 4307, 'gas': 4784, 'oil': 22, 'unknown': 69, 'hydro storage': {'charge': 2518, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2992, 'imports': 0}}",
2026-02-23T16:00:00.000Z,2026-03-25T03:36:58.634Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 544, 'coal': 0, 'wind': 601, 'solar': 13331, 'hydro': 5958, 'gas': 6198, 'oil': 20, 'unknown': 72, 'hydro storage': {'charge': 807, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 3011, 'imports': 160}}",
2026-02-23T17:00:00.000Z,2026-05-05T02:16:18.835Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 588, 'coal': 0, 'wind': 774, 'solar': 3862, 'hydro': 8339, 'gas': 9101, 'oil': 26, 'unknown': 74, 'hydro storage': {'charge': None, 'discharge': 1940}, 'battery storage': {'charge': None, 'discharge': 8}, 'flows': {'exports': 1269, 'imports': 713}}",
2026-02-23T18:00:00.000Z,2026-05-23T02:12:10.397Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 594, 'coal': 0, 'wind': 1136, 'solar': 406, 'hydro': 8681, 'gas': 10581, 'oil': 32, 'unknown': 70, 'hydro storage': {'charge': None, 'discharge': 3233}, 'battery storage': {'charge': None, 'discharge': 12}, 'flows': {'exports': 848, 'imports': 3048}}",
2026-02-23T19:00:00.000Z,2026-05-05T02:16:30.016Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 608, 'coal': 0, 'wind': 1345, 'solar': 270, 'hydro': 8862, 'gas': 11194, 'oil': 34, 'unknown': 73, 'hydro storage': {'charge': None, 'discharge': 3300}, 'battery storage': {'charge': None, 'discharge': 14}, 'flows': {'exports': 590, 'imports': 3938}}",
2026-02-23T20:00:00.000Z,2026-05-05T02:16:18.835Z,MEASURED,"{'nuclear': 5779, 'geothermal': 0, 'biomass': 621, 'coal': 0, 'wind': 1565, 'solar': 244, 'hydro': 8757, 'gas': 10121, 'oil': 34, 'unknown': 73, 'hydro storage': {'charge': None, 'discharge': 3203}, 'battery storage': {'charge': None, 'discharge': 4}, 'flows': {'exports': 604, 'imports': 3982}}",
2026-02-23T21:00:00.000Z,2026-05-05T02:16:18.835Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 620, 'coal': 0, 'wind': 1959, 'solar': 193, 'hydro': 8713, 'gas': 7335, 'oil': 21, 'unknown': 75, 'hydro storage': {'charge': None, 'discharge': 3134}, 'battery storage': {'charge': None, 'discharge': 2}, 'flows': {'exports': 906, 'imports': 3974}}",
2026-02-23T22:00:00.000Z,2026-03-25T03:36:58.634Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 616, 'coal': 0, 'wind': 2490, 'solar': 177, 'hydro': 8184, 'gas': 5607, 'oil': 20, 'unknown': 76, 'hydro storage': {'charge': None, 'discharge': 2506}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 1054, 'imports': 3438}}",
2026-02-23T23:00:00.000Z,2026-03-25T03:36:58.634Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 609, 'coal': 0, 'wind': 2721, 'solar': 103, 'hydro': 7411, 'gas': 4464, 'oil': 18, 'unknown': 72, 'hydro storage': {'charge': None, 'discharge': 1948}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 862, 'imports': 3639}}",
2026-02-24T00:00:00.000Z,2026-03-25T03:36:58.634Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 615, 'coal': 0, 'wind': 2810, 'solar': 78, 'hydro': 7246, 'gas': 4064, 'oil': 20, 'unknown': 69, 'hydro storage': {'charge': None, 'discharge': 1464}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 865, 'imports': 3202}}",
2026-02-24T01:00:00.000Z,2026-03-25T03:37:09.371Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 615, 'coal': 0, 'wind': 3216, 'solar': 68, 'hydro': 7208, 'gas': 4076, 'oil': 20, 'unknown': 71, 'hydro storage': {'charge': None, 'discharge': 237}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 848, 'imports': 3021}}",
2026-02-24T02:00:00.000Z,2026-03-26T03:38:39.520Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 618, 'coal': 0, 'wind': 3361, 'solar': 14, 'hydro': 7338, 'gas': 4062, 'oil': 20, 'unknown': 68, 'hydro storage': {'charge': 165, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 870, 'imports': 2640}}",
2026-02-24T03:00:00.000Z,2026-03-26T03:38:39.520Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 617, 'coal': 0, 'wind': 3664, 'solar': 8, 'hydro': 7349, 'gas': 4088, 'oil': 20, 'unknown': 68, 'hydro storage': {'charge': 289, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 830, 'imports': 2464}}",
2026-02-24T04:00:00.000Z,2026-03-26T03:38:39.520Z,MEASURED,"{'nuclear': 5780, 'geothermal': 0, 'biomass': 613, 'coal': 0, 'wind': 4352, 'solar': 8, 'hydro': 7729, 'gas': 4405, 'oil': 20, 'unknown': 68, 'hydro storage': {'charge': 99, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 924, 'imports': 2090}}",
2026-02-24T05:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 615, 'coal': 0, 'wind': 4075, 'solar': 8, 'hydro': 8277, 'gas': 5909, 'oil': 20, 'unknown': 71, 'hydro storage': {'charge': None, 'discharge': 1897}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 1108, 'imports': 1487}}",
2026-02-24T06:00:00.000Z,2026-05-23T02:11:07.620Z,MEASURED,"{'nuclear': 5777, 'geothermal': 0, 'biomass': 620, 'coal': 0, 'wind': 4631, 'solar': 22, 'hydro': 8582, 'gas': 7364, 'oil': 30, 'unknown': 72, 'hydro storage': {'charge': None, 'discharge': 2968}, 'battery storage': {'charge': None, 'discharge': 3}, 'flows': {'exports': 715, 'imports': 1683}}",
2026-02-24T07:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5778, 'geothermal': 0, 'biomass': 615, 'coal': 0, 'wind': 4531, 'solar': 3133, 'hydro': 8438, 'gas': 6925, 'oil': 29, 'unknown': 67, 'hydro storage': {'charge': None, 'discharge': 2568}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 789, 'imports': 1594}}",
2026-02-24T08:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 602, 'coal': 0, 'wind': 3714, 'solar': 11822, 'hydro': 5895, 'gas': 4382, 'oil': 24, 'unknown': 75, 'hydro storage': {'charge': None, 'discharge': 155}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 1768, 'imports': 711}}",
2026-02-24T09:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5779, 'geothermal': 0, 'biomass': 586, 'coal': 0, 'wind': 2723, 'solar': 15931, 'hydro': 4214, 'gas': 4010, 'oil': 20, 'unknown': 76, 'hydro storage': {'charge': 2096, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2194, 'imports': 266}}",
2026-02-24T10:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 546, 'coal': 0, 'wind': 2402, 'solar': 16245, 'hydro': 3854, 'gas': 3638, 'oil': 20, 'unknown': 76, 'hydro storage': {'charge': 2528, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2145, 'imports': 342}}",
2026-02-24T11:00:00.000Z,2026-03-26T03:38:39.520Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 546, 'coal': 0, 'wind': 2443, 'solar': 16139, 'hydro': 3790, 'gas': 3597, 'oil': 20, 'unknown': 77, 'hydro storage': {'charge': 2668, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2292, 'imports': 105}}",
2026-02-24T12:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 562, 'coal': 0, 'wind': 2562, 'solar': 16040, 'hydro': 3856, 'gas': 3566, 'oil': 20, 'unknown': 76, 'hydro storage': {'charge': 2625, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2267, 'imports': 0}}",
2026-02-24T13:00:00.000Z,2026-03-26T03:38:19.788Z,MEASURED,"{'nuclear': 5775, 'geothermal': 0, 'biomass': 567, 'coal': 0, 'wind': 2874, 'solar': 15501, 'hydro': 3839, 'gas': 3543, 'oil': 20, 'unknown': 72, 'hydro storage': {'charge': 2703, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2430, 'imports': 0}}",
2026-02-24T14:00:00.000Z,2026-03-26T03:38:43.046Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 561, 'coal': 0, 'wind': 3011, 'solar': 15299, 'hydro': 3877, 'gas': 3540, 'oil': 22, 'unknown': 72, 'hydro storage': {'charge': 2676, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2311, 'imports': 0}}",
2026-02-24T15:00:00.000Z,2026-03-26T03:38:43.046Z,MEASURED,"{'nuclear': 5775, 'geothermal': 0, 'biomass': 567, 'coal': 0, 'wind': 3223, 'solar': 16156, 'hydro': 3909, 'gas': 3589, 'oil': 23, 'unknown': 72, 'hydro storage': {'charge': 2631, 'discharge': None}, 'battery storage': {'charge': 0, 'discharge': None}, 'flows': {'exports': 2937, 'imports': 0}}",
2026-02-24T16:00:00.000Z,2026-05-05T02:16:30.016Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 574, 'coal': 0, 'wind': 3774, 'solar': 12998, 'hydro': 4822, 'gas': 4482, 'oil': 21, 'unknown': 75, 'hydro storage': {'charge': 1227, 'discharge': None}, 'battery storage': {'charge': None, 'discharge': 1}, 'flows': {'exports': 3017, 'imports': 489}}",
2026-02-24T17:00:00.000Z,2026-05-23T02:11:38.923Z,MEASURED,"{'nuclear': 5776, 'geothermal': 0, 'biomass': 605, 'coal': 0, 'wind': 4209, 'solar': 3684, 'hydro': 8021, 'gas': 7536, 'oil': 26, 'unknown': 73, 'hydro storage': {'charge': None, 'discharge': 2477}, 'battery storage': {'charge': None, 'discharge': 11}, 'flows': {'exports': 2408, 'imports': 593}}",
