datetime,value,solar,wind,hydro,renewable_generation,renewable_share
2026-02-23 00:00:00+00:00,22667.37,148.0,1971.0,7171.0,9290.0,0.40984022407540005
2026-02-23 01:00:00+00:00,21300.31,120.0,1918.0,6000.0,8038.0,0.3773653998462933
2026-02-23 02:00:00+00:00,21144.11,95.0,2002.0,5900.0,7997.0,0.3782140747470572
2026-02-23 03:00:00+00:00,21094.23,61.0,2209.0,5807.0,8077.0,0.3829009165065518
2026-02-23 04:00:00+00:00,22270.63,19.0,2084.0,6132.0,8235.0,0.3697695125822664
2026-02-23 05:00:00+00:00,25893.34,12.0,2103.0,7986.0,10101.0,0.39010031150867364
2026-02-23 06:00:00+00:00,30213.97,23.0,2075.0,8410.0,10508.0,0.347786139987562
2026-02-23 07:00:00+00:00,32918.6,3290.0,1882.0,8264.0,13436.0,0.40815830563875743
2026-02-23 08:00:00+00:00,31956.17,12781.0,1226.0,7048.0,21055.0,0.6588711976435224
2026-02-23 09:00:00+00:00,29989.01,18353.0,750.0,4862.0,23965.0,0.7991260798539198
2026-02-23 10:00:00+00:00,28776.28,19063.0,582.0,4083.0,23728.0,0.8245680122656577
2026-02-23 11:00:00+00:00,27574.78,18351.0,503.0,4009.0,22863.0,0.8291271952124369
2026-02-23 12:00:00+00:00,27585.61,17806.0,499.0,4007.0,22312.0,0.808827501005053
2026-02-23 13:00:00+00:00,26961.56,16666.0,494.0,3991.0,21151.0,0.7844872477705296
2026-02-23 14:00:00+00:00,27124.4,16786.0,504.0,3919.0,21209.0,0.781915913347392
2026-02-23 15:00:00+00:00,27830.6,17269.0,580.0,4307.0,22156.0,0.7961021321854362
2026-02-23 16:00:00+00:00,28842.64,13331.0,601.0,5958.0,19890.0,0.6896040029622809
2026-02-23 17:00:00+00:00,29931.36,3862.0,774.0,8339.0,12975.0,0.4334918293054509
2026-02-23 18:00:00+00:00,32721.0,406.0,1136.0,8681.0,10223.0,0.3124293267320681
2026-02-23 19:00:00+00:00,34823.93,270.0,1345.0,8862.0,10477.0,0.3008563364330218
2026-02-23 20:00:00+00:00,33778.98,244.0,1565.0,8757.0,10566.0,0.3127980773842194
2026-02-23 21:00:00+00:00,30900.23,193.0,1959.0,8713.0,10865.0,0.3516155057745525
2026-02-23 22:00:00+00:00,27840.49,177.0,2490.0,8184.0,10851.0,0.3897560711036336
2026-02-23 23:00:00+00:00,25903.65,103.0,2721.0,7411.0,10235.0,0.3951180625124258
2026-02-24 00:00:00+00:00,24482.72,78.0,2810.0,7246.0,10134.0,0.41392459661344816
2026-02-24 01:00:00+00:00,23463.55,68.0,3216.0,7208.0,10492.0,0.4471616613854255
2026-02-24 02:00:00+00:00,22866.27,14.0,3361.0,7338.0,10713.0,0.468506669430563
2026-02-24 03:00:00+00:00,22938.67,8.0,3664.0,7349.0,11021.0,0.4804550568973703
2026-02-24 04:00:00+00:00,24042.52,8.0,4352.0,7729.0,12089.0,0.5028175083144363
2026-02-24 05:00:00+00:00,27027.4,8.0,4075.0,8277.0,12360.0,0.45731368907109077
