datetime,demand_mwh,country
2024-04-01 00:00:00,36808.25,Germany
2024-04-01 01:00:00,35437.25,Germany
2024-04-01 02:00:00,34585.0,Germany
2024-04-01 03:00:00,34303.5,Germany
2024-04-01 04:00:00,34851.5,Germany
2024-04-01 05:00:00,35657.5,Germany
2024-04-01 06:00:00,36365.5,Germany
2024-04-01 07:00:00,37172.5,Germany
2024-04-01 08:00:00,40323.0,Germany
2024-04-01 09:00:00,44014.75,Germany
2024-04-01 10:00:00,46691.5,Germany
2024-04-01 11:00:00,49335.5,Germany
2024-04-01 12:00:00,49635.75,Germany
2024-04-01 13:00:00,48382.75,Germany
2024-04-01 14:00:00,47515.75,Germany
2024-04-01 15:00:00,47153.25,Germany
2024-04-01 16:00:00,46674.75,Germany
2024-04-01 17:00:00,47585.5,Germany
2024-04-01 18:00:00,48611.5,Germany
2024-04-01 19:00:00,50592.0,Germany
2024-04-01 20:00:00,50140.0,Germany
2024-04-01 21:00:00,48353.25,Germany
2024-04-01 22:00:00,46985.0,Germany
2024-04-01 23:00:00,44311.75,Germany
2024-04-02 00:00:00,41658.0,Germany
2024-04-02 01:00:00,40211.25,Germany
2024-04-02 02:00:00,40147.5,Germany
2024-04-02 03:00:00,40683.5,Germany
2024-04-02 04:00:00,42727.75,Germany
2024-04-02 05:00:00,45981.5,Germany
2024-04-02 06:00:00,53492.75,Germany
2024-04-02 07:00:00,57892.0,Germany
2024-04-02 08:00:00,61908.75,Germany
2024-04-02 09:00:00,64094.25,Germany
2024-04-02 10:00:00,64968.25,Germany
2024-04-02 11:00:00,65546.5,Germany
2024-04-02 12:00:00,65125.0,Germany
2024-04-02 13:00:00,63657.75,Germany
2024-04-02 14:00:00,61327.0,Germany
2024-04-02 15:00:00,60007.5,Germany
2024-04-02 16:00:00,59373.0,Germany
2024-04-02 17:00:00,59483.0,Germany
2024-04-02 18:00:00,60470.25,Germany
2024-04-02 19:00:00,60523.75,Germany
2024-04-02 20:00:00,58952.5,Germany
2024-04-02 21:00:00,56336.75,Germany
2024-04-02 22:00:00,52714.25,Germany
2024-04-02 23:00:00,49385.75,Germany
2024-04-03 00:00:00,46837.75,Germany
2024-04-03 01:00:00,45176.75,Germany
2024-04-03 02:00:00,44523.25,Germany
2024-04-03 03:00:00,44817.5,Germany
2024-04-03 04:00:00,45892.5,Germany
2024-04-03 05:00:00,48677.25,Germany
2024-04-03 06:00:00,54611.75,Germany
2024-04-03 07:00:00,58935.25,Germany
2024-04-03 08:00:00,61945.75,Germany
2024-04-03 09:00:00,61737.75,Germany
2024-04-03 10:00:00,63366.5,Germany
2024-04-03 11:00:00,63591.0,Germany
2024-04-03 12:00:00,63602.75,Germany
2024-04-03 13:00:00,62673.25,Germany
2024-04-03 14:00:00,61375.0,Germany
2024-04-03 15:00:00,60361.25,Germany
2024-04-03 16:00:00,58925.0,Germany
2024-04-03 17:00:00,59159.75,Germany
2024-04-03 18:00:00,60267.25,Germany
2024-04-03 19:00:00,61180.75,Germany
2024-04-03 20:00:00,59999.0,Germany
2024-04-03 21:00:00,56857.25,Germany
2024-04-03 22:00:00,54151.5,Germany
2024-04-03 23:00:00,50747.0,Germany
2024-04-04 00:00:00,47742.75,Germany
2024-04-04 01:00:00,45669.25,Germany
2024-04-04 02:00:00,44371.5,Germany
2024-04-04 03:00:00,44805.0,Germany
2024-04-04 04:00:00,45907.5,Germany
2024-04-04 05:00:00,48717.5,Germany
2024-04-04 06:00:00,55380.5,Germany
2024-04-04 07:00:00,59725.75,Germany
2024-04-04 08:00:00,61819.75,Germany
2024-04-04 09:00:00,62149.5,Germany
2024-04-04 10:00:00,63455.25,Germany
2024-04-04 11:00:00,63666.25,Germany
2024-04-04 12:00:00,63324.5,Germany
2024-04-04 13:00:00,63135.0,Germany
2024-04-04 14:00:00,61591.25,Germany
2024-04-04 15:00:00,60341.5,Germany
2024-04-04 16:00:00,59984.0,Germany
2024-04-04 17:00:00,60038.75,Germany
2024-04-04 18:00:00,60776.75,Germany
2024-04-04 19:00:00,61388.25,Germany
2024-04-04 20:00:00,59796.25,Germany
2024-04-04 21:00:00,57492.0,Germany
2024-04-04 22:00:00,54339.75,Germany
2024-04-04 23:00:00,50331.5,Germany
2024-04-05 00:00:00,47445.75,Germany
2024-04-05 01:00:00,44862.75,Germany
2024-04-05 02:00:00,43869.25,Germany
2024-04-05 03:00:00,44511.75,Germany
2024-04-05 04:00:00,45231.5,Germany
2024-04-05 05:00:00,48659.0,Germany
2024-04-05 06:00:00,54194.25,Germany
2024-04-05 07:00:00,58717.25,Germany
2024-04-05 08:00:00,60638.25,Germany
2024-04-05 09:00:00,60471.75,Germany
2024-04-05 10:00:00,61618.25,Germany
2024-04-05 11:00:00,62232.25,Germany
2024-04-05 12:00:00,62358.75,Germany
2024-04-05 13:00:00,61722.5,Germany
2024-04-05 14:00:00,60018.25,Germany
2024-04-05 15:00:00,59449.75,Germany
2024-04-05 16:00:00,58649.25,Germany
2024-04-05 17:00:00,58395.25,Germany
2024-04-05 18:00:00,58744.75,Germany
2024-04-05 19:00:00,59738.0,Germany
2024-04-05 20:00:00,57976.0,Germany
2024-04-05 21:00:00,54602.5,Germany
2024-04-05 22:00:00,50793.5,Germany
2024-04-05 23:00:00,46509.5,Germany
2024-04-06 00:00:00,44981.5,Germany
2024-04-06 01:00:00,42879.5,Germany
2024-04-06 02:00:00,41354.25,Germany
2024-04-06 03:00:00,40799.75,Germany
2024-04-06 04:00:00,40954.25,Germany
2024-04-06 05:00:00,41391.5,Germany
2024-04-06 06:00:00,42386.0,Germany
2024-04-06 07:00:00,44443.0,Germany
2024-04-06 08:00:00,48100.25,Germany
2024-04-06 09:00:00,50185.75,Germany
2024-04-06 10:00:00,51936.5,Germany
2024-04-06 11:00:00,51789.0,Germany
2024-04-06 12:00:00,50208.5,Germany
2024-04-06 13:00:00,48450.75,Germany
2024-04-06 14:00:00,46969.0,Germany
2024-04-06 15:00:00,46827.25,Germany
2024-04-06 16:00:00,46524.75,Germany
2024-04-06 17:00:00,47388.75,Germany
2024-04-06 18:00:00,48588.0,Germany
2024-04-06 19:00:00,50213.5,Germany
2024-04-06 20:00:00,49994.5,Germany
2024-04-06 21:00:00,47945.25,Germany
2024-04-06 22:00:00,45705.5,Germany
2024-04-06 23:00:00,43215.5,Germany
2024-04-07 00:00:00,40547.75,Germany
2024-04-07 01:00:00,38358.75,Germany
2024-04-07 02:00:00,37182.0,Germany
2024-04-07 03:00:00,36672.25,Germany
2024-04-07 04:00:00,37273.5,Germany
2024-04-07 05:00:00,38093.25,Germany
2024-04-07 06:00:00,39901.0,Germany
2024-04-07 07:00:00,41634.5,Germany
2024-04-07 08:00:00,44590.75,Germany
2024-04-07 09:00:00,46146.75,Germany
2024-04-07 10:00:00,47606.75,Germany
2024-04-07 11:00:00,48583.25,Germany
2024-04-07 12:00:00,47686.25,Germany
2024-04-07 13:00:00,44650.0,Germany
2024-04-07 14:00:00,43486.0,Germany
2024-04-07 15:00:00,43202.0,Germany
2024-04-07 16:00:00,43227.75,Germany
2024-04-07 17:00:00,45261.75,Germany
2024-04-07 18:00:00,47302.25,Germany
2024-04-07 19:00:00,48702.5,Germany
2024-04-07 20:00:00,48762.25,Germany
2024-04-07 21:00:00,46556.0,Germany
2024-04-07 22:00:00,45105.5,Germany
2024-04-07 23:00:00,42482.25,Germany
2024-04-08 00:00:00,40351.0,Germany
2024-04-08 01:00:00,39480.0,Germany
2024-04-08 02:00:00,38145.0,Germany
2024-04-08 03:00:00,38174.25,Germany
2024-04-08 04:00:00,39069.75,Germany
2024-04-08 05:00:00,43140.75,Germany
2024-04-08 06:00:00,51611.75,Germany
2024-04-08 07:00:00,56783.25,Germany
2024-04-08 08:00:00,60084.0,Germany
2024-04-08 09:00:00,61340.5,Germany
2024-04-08 10:00:00,61121.25,Germany
2024-04-08 11:00:00,61202.0,Germany
2024-04-08 12:00:00,60895.5,Germany
2024-04-08 13:00:00,59269.5,Germany
2024-04-08 14:00:00,57604.25,Germany
2024-04-08 15:00:00,58119.5,Germany
2024-04-08 16:00:00,56677.75,Germany
2024-04-08 17:00:00,56914.75,Germany
2024-04-08 18:00:00,57777.0,Germany
2024-04-08 19:00:00,58469.0,Germany
2024-04-08 20:00:00,57300.5,Germany
2024-04-08 21:00:00,54479.25,Germany
2024-04-08 22:00:00,50741.0,Germany
2024-04-08 23:00:00,46381.0,Germany
2024-04-09 00:00:00,43112.0,Germany
2024-04-09 01:00:00,41667.75,Germany
2024-04-09 02:00:00,40980.25,Germany
2024-04-09 03:00:00,42090.0,Germany
2024-04-09 04:00:00,43157.25,Germany
2024-04-09 05:00:00,46770.25,Germany
2024-04-09 06:00:00,54690.25,Germany
2024-04-09 07:00:00,59095.25,Germany
2024-04-09 08:00:00,62098.75,Germany
2024-04-09 09:00:00,62739.75,Germany
2024-04-09 10:00:00,63152.5,Germany
2024-04-09 11:00:00,63477.75,Germany
2024-04-09 12:00:00,63788.5,Germany
2024-04-09 13:00:00,62917.5,Germany
2024-04-09 14:00:00,62052.0,Germany
2024-04-09 15:00:00,61037.75,Germany
2024-04-09 16:00:00,60985.25,Germany
2024-04-09 17:00:00,60882.25,Germany
2024-04-09 18:00:00,62027.5,Germany
2024-04-09 19:00:00,61788.25,Germany
2024-04-09 20:00:00,60487.25,Germany
2024-04-09 21:00:00,57710.25,Germany
2024-04-09 22:00:00,53368.0,Germany
2024-04-09 23:00:00,49873.25,Germany
2024-04-10 00:00:00,46844.25,Germany
2024-04-10 01:00:00,45679.0,Germany
2024-04-10 02:00:00,44083.0,Germany
2024-04-10 03:00:00,44388.5,Germany
2024-04-10 04:00:00,45269.25,Germany
2024-04-10 05:00:00,48518.5,Germany
2024-04-10 06:00:00,56122.25,Germany
2024-04-10 07:00:00,60930.75,Germany
2024-04-10 08:00:00,63654.25,Germany
2024-04-10 09:00:00,64363.25,Germany
2024-04-10 10:00:00,64533.75,Germany
2024-04-10 11:00:00,65356.0,Germany
2024-04-10 12:00:00,64500.25,Germany
2024-04-10 13:00:00,63206.5,Germany
2024-04-10 14:00:00,61086.0,Germany
2024-04-10 15:00:00,60004.75,Germany
2024-04-10 16:00:00,58626.75,Germany
2024-04-10 17:00:00,58686.25,Germany
2024-04-10 18:00:00,59261.5,Germany
2024-04-10 19:00:00,59734.0,Germany
2024-04-10 20:00:00,58672.25,Germany
2024-04-10 21:00:00,55688.25,Germany
2024-04-10 22:00:00,51873.75,Germany
2024-04-10 23:00:00,48212.5,Germany
2024-04-11 00:00:00,45106.5,Germany
