Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-05-09 21:00","31383","31955","31555",
"2024-05-09 21:05","31589","32404","31555",
"2024-05-09 21:10","31712","32600","31555",
"2024-05-09 21:15","32065","32542","32085",
"2024-05-09 21:20","32014","32376","32085",
"2024-05-09 21:25","32108","32248","32085",
"2024-05-09 21:30","32070","32156","31949",
"2024-05-09 21:35","32072","32063","31949",
"2024-05-09 21:40","32049","31931","31949",
"2024-05-09 21:45","31971","31760","31429",
"2024-05-09 21:50","31671","31572","31429",
"2024-05-09 21:55","31447","31389","31429",
"2024-05-09 22:00","31181","31272","30820",
"2024-05-09 22:05","31034","31086","30820",
"2024-05-09 22:10","30945","30878","30820",
"2024-05-09 22:15","30669","30648","29819",
"2024-05-09 22:20","30329","30403","29819",
"2024-05-09 22:25","30099","30153","29819",
"2024-05-09 22:30","29892","29896","29120",
"2024-05-09 22:35","29740","29649","29120",
"2024-05-09 22:40","29461","29431","29120",
"2024-05-09 22:45","29042","29239","28720",
"2024-05-09 22:50","28978","29016","28720",
"2024-05-09 22:55","28610","28699","28720",
"2024-05-09 23:00","28579","28220","27880",
"2024-05-09 23:05","28289","27827","27880",
"2024-05-09 23:10","28210","27560","27880",
"2024-05-09 23:15","28071","27418","27171",
"2024-05-09 23:20","27547","27329","27171",
"2024-05-09 23:25","27391","27223","27171",
"2024-05-09 23:30","27101","27099","26771",
"2024-05-09 23:35","26933","26966","26771",
"2024-05-09 23:40","26975","26831","26771",
"2024-05-09 23:45","26479","26694","26271",
"2024-05-09 23:50","26419","26587","26271",
"2024-05-09 23:55","26154","26540","26271",
"2024-05-10 00:00","26102","26391","26075",
"2024-05-10 00:05","26122","26401","26075",
"2024-05-10 00:10","25926","26346","26075",
"2024-05-10 00:15","26085","26225","25842",
"2024-05-10 00:20","26028","26080","25842",
"2024-05-10 00:25","25793","25949","25842",
"2024-05-10 00:30","25715","25834","25642",
"2024-05-10 00:35","25602","25726","25642",
"2024-05-10 00:40","25556","25614","25642",
"2024-05-10 00:45","25326","25499","25242",
"2024-05-10 00:50","25108","25381","25242",
"2024-05-10 00:55","24995","25259","25242",
"2024-05-10 01:00","24870","25025","24699",
"2024-05-10 01:05","24710","24901","24699",
"2024-05-10 01:10","24814","24786","24699",
"2024-05-10 01:15","24630","24680","24399",
"2024-05-10 01:20","24517","24577","24399",
"2024-05-10 01:25","24359","24472","24399",
"2024-05-10 01:30","24334","24366","23899",
"2024-05-10 01:35","24252","24264","23899",
"2024-05-10 01:40","24108","24173","23899",
"2024-05-10 01:45","23940","24093","23599",
"2024-05-10 01:50","23776","24006","23599",
"2024-05-10 01:55","23586","23896","23599",
"2024-05-10 02:00","23612","23685","23404",
"2024-05-10 02:05","23466","23557","23404",
"2024-05-10 02:10","23437","23463","23404",
"2024-05-10 02:15","23358","23403","23209",
"2024-05-10 02:20","23246","23357","23209",
"2024-05-10 02:25","23291","23305","23209",
"2024-05-10 02:30","23126","23246","23020",
"2024-05-10 02:35","23207","23191","23020",
"2024-05-10 02:40","23152","23149","23020",
"2024-05-10 02:45","23197","23120","23010",
"2024-05-10 02:50","23046","23084","23010",
"2024-05-10 02:55","22968","23024","23010",
"2024-05-10 03:00","23088","22893","22859",
"2024-05-10 03:05","23133","22809","22859",
"2024-05-10 03:10","22813","22757","22859",
