Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Apr 1, 2024 12:00 AM;Apr 1, 2024 1:00 AM;36,808.25;37,156.25;348.00;26,422.75
Apr 1, 2024 1:00 AM;Apr 1, 2024 2:00 AM;35,437.25;35,930.50;493.25;25,565.75
Apr 1, 2024 2:00 AM;Apr 1, 2024 3:00 AM;34,585.00;35,621.50;1,036.50;24,560.00
Apr 1, 2024 3:00 AM;Apr 1, 2024 4:00 AM;34,303.50;35,344.50;1,041.00;24,943.50
Apr 1, 2024 4:00 AM;Apr 1, 2024 5:00 AM;34,851.50;35,491.50;640.00;25,489.00
Apr 1, 2024 5:00 AM;Apr 1, 2024 6:00 AM;35,657.50;36,261.25;603.75;26,858.25
Apr 1, 2024 6:00 AM;Apr 1, 2024 7:00 AM;36,365.50;36,539.50;174.00;27,908.50
Apr 1, 2024 7:00 AM;Apr 1, 2024 8:00 AM;37,172.50;37,302.50;130.00;28,432.50
Apr 1, 2024 8:00 AM;Apr 1, 2024 9:00 AM;40,323.00;40,584.75;261.75;29,417.75
Apr 1, 2024 9:00 AM;Apr 1, 2024 10:00 AM;44,014.75;44,140.25;125.50;30,576.75
Apr 1, 2024 10:00 AM;Apr 1, 2024 11:00 AM;46,691.50;46,805.00;113.50;31,539.25
Apr 1, 2024 11:00 AM;Apr 1, 2024 12:00 PM;49,335.50;49,978.25;642.75;31,455.75
Apr 1, 2024 12:00 PM;Apr 1, 2024 1:00 PM;49,635.75;51,079.00;1,443.25;28,465.00
Apr 1, 2024 1:00 PM;Apr 1, 2024 2:00 PM;48,382.75;49,825.75;1,443.00;23,977.75
Apr 1, 2024 2:00 PM;Apr 1, 2024 3:00 PM;47,515.75;50,575.00;3,059.25;19,237.75
Apr 1, 2024 3:00 PM;Apr 1, 2024 4:00 PM;47,153.25;51,246.75;4,093.50;15,959.75
Apr 1, 2024 4:00 PM;Apr 1, 2024 5:00 PM;46,674.75;50,438.25;3,763.50;14,105.75
Apr 1, 2024 5:00 PM;Apr 1, 2024 6:00 PM;47,585.50;50,637.00;3,051.50;16,314.75
Apr 1, 2024 6:00 PM;Apr 1, 2024 7:00 PM;48,611.50;48,728.50;117.00;20,917.00
Apr 1, 2024 7:00 PM;Apr 1, 2024 8:00 PM;50,592.00;50,643.75;51.75;25,039.50
Apr 1, 2024 8:00 PM;Apr 1, 2024 9:00 PM;50,140.00;50,196.00;56.00;23,728.25
Apr 1, 2024 9:00 PM;Apr 1, 2024 10:00 PM;48,353.25;48,945.75;592.50;18,980.00
Apr 1, 2024 10:00 PM;Apr 1, 2024 11:00 PM;46,985.00;48,132.00;1,147.00;15,983.25
Apr 1, 2024 11:00 PM;Apr 2, 2024 12:00 AM;44,311.75;46,315.50;2,003.75;12,246.00
Apr 2, 2024 12:00 AM;Apr 2, 2024 1:00 AM;41,658.00;45,474.25;3,816.25;9,130.00
Apr 2, 2024 1:00 AM;Apr 2, 2024 2:00 AM;40,211.25;45,253.00;5,041.75;7,023.75
Apr 2, 2024 2:00 AM;Apr 2, 2024 3:00 AM;40,147.50;45,404.75;5,257.25;6,324.25
Apr 2, 2024 3:00 AM;Apr 2, 2024 4:00 AM;40,683.50;45,996.25;5,312.75;6,344.50
Apr 2, 2024 4:00 AM;Apr 2, 2024 5:00 AM;42,727.75;48,012.00;5,284.25;7,730.75
Apr 2, 2024 5:00 AM;Apr 2, 2024 6:00 AM;45,981.50;49,703.00;3,721.50;10,473.25
